Model,Steps,train_TotalLoss,test_mAP,Train_FP,Train_FN,Test_FP,Test_FN
CenterNet,100,2.8379,0,,,,
CenterNet,500,0.7392,0,,,,
CenterNet,1000,0.6276,0.635953,,,,
CenterNet,2000,0.776,0.691116,0,11,0,14
CenterNet,4000,0.446,0.700227,,,,
CenterNet,6000,0.2862,0.709078,,,,
CenterNet,8000,0.5381,0.795062,,,,
CenterNet,10000,0.224,0.786083,,,,
CenterNet,12000,0.2019,0.771786,,,,
CenterNet,14000,0.4431,0.794758,,,,
CenterNet,16000,0.5102,0.759702,,,,
SSD MobileNet V1,100,1.7927,0,,,,
SSD MobileNet V1,500,1.0081,0,,,,
SSD MobileNet V1,1000,0.9807,0.485248,,,,
SSD MobileNet V1,2000,0.8842,0.476506,7,30,3,9
SSD MobileNet V1,4000,0.8203,0.55195,,,,
SSD MobileNet V1,6000,0.7249,0.628455,,,,
SSD MobileNet V1,8000,0.7725,0.669313,,,,
SSD MobileNet V1,10000,0.6565,0.654349,,,,
SSD MobileNet V1,12000,0.6306,0.654708,,,,
SSD MobileNet V1,14000,0.6117,0.66724,,,,
SSD MobileNet V1,16000,0.6792,0.657189,,,,
Faster RCNN,100,0.2942,0,,,,
Faster RCNN,500,0.1023,0,,,,
Faster RCNN,1000,0.0362,0.58698,,,,
Faster RCNN,2000,0.0297,0.599674,0,0,5,1
Faster RCNN,4000,0.0125,0.651868,,,,
Faster RCNN,6000,0.0171,0.677886,,,,
Faster RCNN,8000,0.0068,0.675128,,,,
Faster RCNN,10000,0.002,0.674649,,,,
Faster RCNN,12000,0.0051,0.683223,,,,
Faster RCNN,14000,0.0015,0.685011,,,,
Faster RCNN,16000,0.009,0.667111,,,,
