filename,prefix,frame_num,lat,lon,altitude,heading,left_lane_pixels_bottom,left_lane_pixels_top
E:\TensorFlow2\TFODCourse\minor_thesis\data_sources\dashcam_tour_frankston\split\FILE210926-101400F_0000.png,FILE210926-101400F,0,-38.1753710,145.1094840,84.900000,328.370000,149.65,5.69
E:\TensorFlow2\TFODCourse\minor_thesis\data_sources\dashcam_tour_frankston\split\FILE210926-101400F_0012.png,FILE210926-101400F,12,-38.1753464,145.1094646,84.900000,328.370000,173.24,13.59
E:\TensorFlow2\TFODCourse\minor_thesis\data_sources\dashcam_tour_frankston\split\FILE210926-101400F_0024.png,FILE210926-101400F,24,-38.1753218,145.1094452,84.900000,328.370000,207.25,22.39
E:\TensorFlow2\TFODCourse\minor_thesis\data_sources\dashcam_tour_frankston\split\FILE210926-101400F_0036.png,FILE210926-101400F,36,-38.1752972,145.1094258,84.900000,328.370000,145.09,4.85
E:\TensorFlow2\TFODCourse\minor_thesis\data_sources\dashcam_tour_frankston\split\FILE210926-101400F_0048.png,FILE210926-101400F,48,-38.1752726,145.1094064,84.900000,328.370000,164.12,13.42
E:\TensorFlow2\TFODCourse\minor_thesis\data_sources\dashcam_tour_frankston\split\FILE210926-101400F_0060.png,FILE210926-101400F,60,-38.1752480,145.1093870,84.900000,328.370000,235.06,9.96
E:\TensorFlow2\TFODCourse\minor_thesis\data_sources\dashcam_tour_frankston\split\FILE210926-101400F_0072.png,FILE210926-101400F,72,-38.1752236,145.1093680,84.900000,328.412000,230.15,1.89
E:\TensorFlow2\TFODCourse\minor_thesis\data_sources\dashcam_tour_frankston\split\FILE210926-101400F_0084.png,FILE210926-101400F,84,-38.1751992,145.1093490,84.900000,328.454000,252.77,13.15
E:\TensorFlow2\TFODCourse\minor_thesis\data_sources\dashcam_tour_frankston\split\FILE210926-101400F_0096.png,FILE210926-101400F,96,-38.1751748,145.1093300,84.900000,328.496000,318.44,13.62
E:\TensorFlow2\TFODCourse\minor_thesis\data_sources\dashcam_tour_frankston\split\FILE210926-101400F_0108.png,FILE210926-101400F,108,-38.1751504,145.1093110,84.900000,328.538000,278.93,0.13
E:\TensorFlow2\TFODCourse\minor_thesis\data_sources\dashcam_tour_frankston\split\FILE210926-101400F_0120.png,FILE210926-101400F,120,-38.1751260,145.1092920,84.900000,328.580000,280.97,53.09
E:\TensorFlow2\TFODCourse\minor_thesis\data_sources\dashcam_tour_frankston\split\FILE210926-101400F_0132.png,FILE210926-101400F,132,-38.1751016,145.1092726,84.900000,328.450000,304.88,37.69
E:\TensorFlow2\TFODCourse\minor_thesis\data_sources\dashcam_tour_frankston\split\FILE210926-101400F_0144.png,FILE210926-101400F,144,-38.1750772,145.1092532,84.900000,328.320000,254.03,1.20
E:\TensorFlow2\TFODCourse\minor_thesis\data_sources\dashcam_tour_frankston\split\FILE210926-101400F_0156.png,FILE210926-101400F,156,-38.1750528,145.1092338,84.900000,328.190000,220.39,38.53
E:\TensorFlow2\TFODCourse\minor_thesis\data_sources\dashcam_tour_frankston\split\FILE210926-101400F_0168.png,FILE210926-101400F,168,-38.1750284,145.1092144,84.900000,328.060000,253.60,0.13
E:\TensorFlow2\TFODCourse\minor_thesis\data_sources\dashcam_tour_frankston\split\FILE210926-101400F_0180.png,FILE210926-101400F,180,-38.1750040,145.1091950,84.900000,327.930000,185.59,41.61
E:\TensorFlow2\TFODCourse\minor_thesis\data_sources\dashcam_tour_frankston\split\FILE210926-101400F_0192.png,FILE210926-101400F,192,-38.1749792,145.1091762,84.900000,328.064000,145.49,23.14
E:\TensorFlow2\TFODCourse\minor_thesis\data_sources\dashcam_tour_frankston\split\FILE210926-101400F_0204.png,FILE210926-101400F,204,-38.1749544,145.1091574,84.900000,328.198000,143.37,23.06
E:\TensorFlow2\TFODCourse\minor_thesis\data_sources\dashcam_tour_frankston\split\FILE210926-101400F_0216.png,FILE210926-101400F,216,-38.1749296,145.1091386,84.900000,328.332000,202.60,4.14
E:\TensorFlow2\TFODCourse\minor_thesis\data_sources\dashcam_tour_frankston\split\FILE210926-101400F_0228.png,FILE210926-101400F,228,-38.1749048,145.1091198,84.900000,328.466000,144.18,26.96
E:\TensorFlow2\TFODCourse\minor_thesis\data_sources\dashcam_tour_frankston\split\FILE210926-101400F_0240.png,FILE210926-101400F,240,-38.1748800,145.1091010,84.900000,328.600000,197.62,18.18
E:\TensorFlow2\TFODCourse\minor_thesis\data_sources\dashcam_tour_frankston\split\FILE210926-101400F_0252.png,FILE210926-101400F,252,-38.1748566,145.1090822,84.900000,328.500000,150.56,10.68
E:\TensorFlow2\TFODCourse\minor_thesis\data_sources\dashcam_tour_frankston\split\FILE210926-101400F_0264.png,FILE210926-101400F,264,-38.1748332,145.1090634,84.900000,328.400000,162.17,7.88
E:\TensorFlow2\TFODCourse\minor_thesis\data_sources\dashcam_tour_frankston\split\FILE210926-101400F_0276.png,FILE210926-101400F,276,-38.1748098,145.1090446,84.900000,328.300000,235.56,9.62
E:\TensorFlow2\TFODCourse\minor_thesis\data_sources\dashcam_tour_frankston\split\FILE210926-101400F_0288.png,FILE210926-101400F,288,-38.1747864,145.1090258,84.900000,328.200000,224.67,0.32
E:\TensorFlow2\TFODCourse\minor_thesis\data_sources\dashcam_tour_frankston\split\FILE210926-101400F_0300.png,FILE210926-101400F,300,-38.1747630,145.1090070,84.900000,328.100000,251.02,23.86
E:\TensorFlow2\TFODCourse\minor_thesis\data_sources\dashcam_tour_frankston\split\FILE210926-101400F_0312.png,FILE210926-101400F,312,-38.1747402,145.1089884,84.900000,328.080000,227.96,5.72
E:\TensorFlow2\TFODCourse\minor_thesis\data_sources\dashcam_tour_frankston\split\FILE210926-101400F_0324.png,FILE210926-101400F,324,-38.1747174,145.1089698,84.900000,328.060000,192.58,13.95
E:\TensorFlow2\TFODCourse\minor_thesis\data_sources\dashcam_tour_frankston\split\FILE210926-101400F_0336.png,FILE210926-101400F,336,-38.1746946,145.1089512,84.900000,328.040000,181.66,23.25
E:\TensorFlow2\TFODCourse\minor_thesis\data_sources\dashcam_tour_frankston\split\FILE210926-101400F_0348.png,FILE210926-101400F,348,-38.1746718,145.1089326,84.900000,328.020000,143.40,9.22
E:\TensorFlow2\TFODCourse\minor_thesis\data_sources\dashcam_tour_frankston\split\FILE210926-101400F_0360.png,FILE210926-101400F,360,-38.1746490,145.1089140,84.900000,328.000000,204.62,0.32
E:\TensorFlow2\TFODCourse\minor_thesis\data_sources\dashcam_tour_frankston\split\FILE210926-101400F_0372.png,FILE210926-101400F,372,-38.1746262,145.1088958,84.900000,327.976000,198.82,8.05
E:\TensorFlow2\TFODCourse\minor_thesis\data_sources\dashcam_tour_frankston\split\FILE210926-101400F_0384.png,FILE210926-101400F,384,-38.1746034,145.1088776,84.900000,327.952000,213.07,1.56
E:\TensorFlow2\TFODCourse\minor_thesis\data_sources\dashcam_tour_frankston\split\FILE210926-101400F_0396.png,FILE210926-101400F,396,-38.1745806,145.1088594,84.900000,327.928000,204.33,5.20
E:\TensorFlow2\TFODCourse\minor_thesis\data_sources\dashcam_tour_frankston\split\FILE210926-101400F_0408.png,FILE210926-101400F,408,-38.1745578,145.1088412,84.900000,327.904000,172.40,11.69
E:\TensorFlow2\TFODCourse\minor_thesis\data_sources\dashcam_tour_frankston\split\FILE210926-101400F_0420.png,FILE210926-101400F,420,-38.1745350,145.1088230,84.900000,327.880000,227.19,14.83
E:\TensorFlow2\TFODCourse\minor_thesis\data_sources\dashcam_tour_frankston\split\FILE210926-101400F_0432.png,FILE210926-101400F,432,-38.1745122,145.1088052,84.900000,327.926000,218.27,14.75
