filename,prefix,frame_num,lat,lon,altitude,heading,left_lane_pixels_bottom,left_lane_pixels_top
E:\TensorFlow2\TFODCourse\minor_thesis\data_sources\dashcam_tour_mount_eliza\split\FILE210924-100801F_0000.png,FILE210924-100801F,0,-38.2012820,145.1035360,130.500000,233.320000,280.51,59.52
E:\TensorFlow2\TFODCourse\minor_thesis\data_sources\dashcam_tour_mount_eliza\split\FILE210924-100801F_0012.png,FILE210924-100801F,12,-38.2012896,145.1035234,130.500000,233.320000,226.36,45.67
E:\TensorFlow2\TFODCourse\minor_thesis\data_sources\dashcam_tour_mount_eliza\split\FILE210924-100801F_0024.png,FILE210924-100801F,24,-38.2012972,145.1035108,130.500000,233.320000,0.00,0.00
E:\TensorFlow2\TFODCourse\minor_thesis\data_sources\dashcam_tour_mount_eliza\split\FILE210924-100801F_0036.png,FILE210924-100801F,36,-38.2013048,145.1034982,130.500000,233.320000,0.00,0.00
E:\TensorFlow2\TFODCourse\minor_thesis\data_sources\dashcam_tour_mount_eliza\split\FILE210924-100801F_0048.png,FILE210924-100801F,48,-38.2013124,145.1034856,130.500000,233.320000,0.00,0.00
E:\TensorFlow2\TFODCourse\minor_thesis\data_sources\dashcam_tour_mount_eliza\split\FILE210924-100801F_0060.png,FILE210924-100801F,60,-38.2013200,145.1034730,130.500000,233.320000,274.11,26.65
E:\TensorFlow2\TFODCourse\minor_thesis\data_sources\dashcam_tour_mount_eliza\split\FILE210924-100801F_0072.png,FILE210924-100801F,72,-38.2013270,145.1034634,130.500000,232.778000,234.19,6.99
E:\TensorFlow2\TFODCourse\minor_thesis\data_sources\dashcam_tour_mount_eliza\split\FILE210924-100801F_0084.png,FILE210924-100801F,84,-38.2013340,145.1034538,130.500000,232.236000,205.12,2.62
E:\TensorFlow2\TFODCourse\minor_thesis\data_sources\dashcam_tour_mount_eliza\split\FILE210924-100801F_0096.png,FILE210924-100801F,96,-38.2013410,145.1034442,130.500000,231.694000,227.00,16.79
E:\TensorFlow2\TFODCourse\minor_thesis\data_sources\dashcam_tour_mount_eliza\split\FILE210924-100801F_0108.png,FILE210924-100801F,108,-38.2013480,145.1034346,130.500000,231.152000,305.36,37.54
E:\TensorFlow2\TFODCourse\minor_thesis\data_sources\dashcam_tour_mount_eliza\split\FILE210924-100801F_0120.png,FILE210924-100801F,120,-38.2013550,145.1034250,130.500000,230.610000,0.00,0.00
E:\TensorFlow2\TFODCourse\minor_thesis\data_sources\dashcam_tour_mount_eliza\split\FILE210924-100801F_0132.png,FILE210924-100801F,132,-38.2013606,145.1034146,130.500000,231.192000,204.47,85.91
E:\TensorFlow2\TFODCourse\minor_thesis\data_sources\dashcam_tour_mount_eliza\split\FILE210924-100801F_0144.png,FILE210924-100801F,144,-38.2013662,145.1034042,130.500000,231.774000,0.00,0.00
E:\TensorFlow2\TFODCourse\minor_thesis\data_sources\dashcam_tour_mount_eliza\split\FILE210924-100801F_0156.png,FILE210924-100801F,156,-38.2013718,145.1033938,130.500000,232.356000,0.00,0.00
E:\TensorFlow2\TFODCourse\minor_thesis\data_sources\dashcam_tour_mount_eliza\split\FILE210924-100801F_0168.png,FILE210924-100801F,168,-38.2013774,145.1033834,130.500000,232.938000,0.00,0.00
